epoch,train_loss,roc_auc,auc,f1,acc
001,1.09191,0.473,0.805,0.893,0.809
002,1.01535,0.645,0.902,0.866,0.765
003,1.00282,0.664,0.906,0.842,0.748
004,0.99855,0.722,0.924,0.856,0.757
005,0.99520,0.723,0.924,0.838,0.730
006,0.99240,0.766,0.937,0.876,0.791
007,0.98996,0.777,0.941,0.866,0.774
008,0.98726,0.828,0.957,0.885,0.809
009,0.98431,0.858,0.965,0.897,0.826
010,0.98118,0.903,0.978,0.902,0.835
011,0.97758,0.928,0.983,0.918,0.861
012,0.97355,0.955,0.990,0.928,0.878
013,0.96910,0.961,0.991,0.933,0.887
014,0.96354,0.965,0.992,0.942,0.904
015,0.95725,0.973,0.993,0.964,0.939
016,0.94924,0.977,0.995,0.952,0.922
017,0.93882,0.978,0.995,0.953,0.922
018,0.92585,0.978,0.995,0.948,0.913
019,0.90743,0.978,0.995,0.944,0.904
020,0.88054,0.977,0.995,0.948,0.913
021,0.83725,0.978,0.995,0.929,0.878
022,0.78814,0.961,0.990,0.944,0.904
023,0.73023,0.960,0.990,0.944,0.904
024,0.66946,0.972,0.994,0.935,0.887
025,0.61399,0.978,0.995,0.948,0.913
026,0.56920,0.973,0.994,0.958,0.930
027,0.51378,0.986,0.997,0.939,0.896
028,0.46957,0.974,0.994,0.934,0.887
029,0.44537,0.932,0.984,0.927,0.878
030,0.40302,0.965,0.992,0.924,0.870
031,0.36054,0.977,0.995,0.943,0.904
032,0.34933,0.948,0.988,0.924,0.878
033,0.31933,0.969,0.993,0.947,0.913
034,0.29374,0.965,0.992,0.936,0.896
035,0.26940,0.961,0.991,0.936,0.896
036,0.25260,0.980,0.996,0.952,0.922
037,0.24933,0.965,0.992,0.927,0.878
038,0.22977,0.970,0.993,0.937,0.896
039,0.22652,0.964,0.992,0.952,0.922
040,0.20594,0.962,0.992,0.926,0.878
041,0.18982,0.964,0.992,0.947,0.913
042,0.18935,0.972,0.994,0.947,0.913
043,0.17532,0.969,0.993,0.930,0.887
044,0.16578,0.970,0.993,0.941,0.904
045,0.15684,0.961,0.991,0.934,0.896
046,0.14887,0.970,0.993,0.941,0.904
047,0.14229,0.962,0.991,0.935,0.896
048,0.13759,0.970,0.993,0.929,0.887
049,0.12895,0.963,0.991,0.934,0.896
050,0.12423,0.971,0.993,0.944,0.913
